城市:广东广州 经度:113.23 纬度:23.16  
城市:云南普洱 经度:101.03 纬度:23.07  
城市:云南镇沅 经度:100.88 纬度:23.9  
城市:云南景东 经度:100.82 纬度:24.42  
城市:云南景谷 经度:100.71 纬度:23.5  
城市:云南黑江 经度:101.71 纬度:23.4  
城市:云南澜沦 经度:99.97 纬度:22.55  
城市:云南西盟 经度:99.47 纬度:22.73  
城市:云南江城 经度:101.88 纬度:22.58  
城市:云南孟连 经度:99.55 纬度:22.32  
城市:云南临沦 经度:100.09 纬度:23.88  
城市:云南云县 经度:100.12 纬度:24.44  
城市:云南镇康 经度:99.02 纬度:23.92  
城市:云南永德 经度:99.25 纬度:24.03  
城市:云南凤庆 经度:99.92 纬度:24.58  
城市:云南双江 经度:99.85 纬度:23.45  
城市:云南沧源 经度:99.24 纬度:23.15  
城市:云南耿马 经度:99.41 纬度:23.56  
城市:云南保由 经度:99.18 纬度:25.12  
城市:云南施甸 经度:99.15 纬度:24.69  
城市:云南腾冲 经度:98.51 纬度:25.01  
城市:云南昌宁 经度:99.61 纬度:24.82  
城市:云南龙陵 经度:98.7 纬度:24.58  
城市:云南丽江 经度:100.25 纬度:26.86  
城市:云南华坪 经度:101.24 纬度:26.63  
城市:云南永胜 经度:100.76 纬度:26.71  
城市:云南宁蒗 经度:100.82 纬度:27.29  
城市:云南文山 经度:104.24 纬度:23.37  
城市:云南广南 经度:105.09 纬度:24.05  
城市:云南西畴 经度:104.68 纬度:23.42  
城市:云南麻栗坡 经度:104.71 纬度:23.12  
城市:云南马关 经度:104.4 纬度:23.01  
城市:云南丘北 经度:104.19 纬度:24.03  
城市:云南砚山 经度:104.35 纬度:23.62  
城市:云南富宁 经度:105.6 纬度:23.62  
城市:云南个旧 经度:102.43 纬度:23.35  
城市:云南弥勒 经度:103.43 纬度:24.41  
城市:云南蒙自 经度:103.41 纬度:23.36  
城市:云南元阳 经度:102.81 纬度:23.17  
城市:云南红河 经度:102.42 纬度:23.35  
城市:云南石屏 经度:102.48 纬度:23.73  
城市:云南泸西 经度:103.76 纬度:24.52  
城市:云南金平 经度:103.24 纬度:22.77  
城市:云南开远 经度:103.23 纬度:23.7  
城市:云南绿春 经度:102.42 纬度:23.01  
城市:云南建水 经度:102.79 纬度:23.64 
城市:云南河口 经度:103.98 纬度:22.52  
城市:云南屏边 经度:103.67 纬度:22.68  
城市:云南景淇 经度:100.79 纬度:22  
城市:云南勐海 经度:100.5 纬度:21.95  
城市:云南勐腊 经度:101.56 纬度:21.48  
城市:云南楚雄 经度:101.54 纬度:25.01  
城市:云南元谋 经度:101.85 纬度:25.7  
城市:云南武定 经度:102.36 纬度:25.55  
城市:云南禄丰 经度:102.08 纬度:25.15  
城市:云南南华 经度:101.26 纬度:25.21  
城市:云南大姚 经度:101.34 纬度:25.73  
城市:云南永仁 经度:101.7 纬度:26.07  
城市:云南禄劝 经度:102.45 纬度:25.58  
城市:云南牟定 经度:101.58 纬度:25.32  
城市:云南双柏 经度:101.67 纬度:24.68  
城市:云南姚安 经度:101.24 纬度:25.4  
城市:云南下关 经度:100.24 纬度:25.45  
城市:云南剑川 经度:99.88 纬度:26.53  
城市:云南洱源 经度:99.94 纬度:26.1  
城市:云南宾川 经度:100.55 纬度:25.82  
城市:云南弥渡 经度:100.52 纬度:25.34  
城市:云南永平 经度:99.52 纬度:25.45  
城市:云南鹤庆 经度:100.18 纬度:26.55  
城市:云南大理 经度:100.19 纬度:25.69  
城市:云南漾濞 经度:99.98 纬度:25.68  
城市:云南云龙 经度:99.39 纬度:25.9  
城市:云南祥云 经度:100.56 纬度:25.48  
城市:云南巍山 经度:100.33 纬度:25.23  
城市:云南南涧 经度:100.51 纬度:25.04  
城市:云南潞西 经度:98.6 纬度:24.41  
城市:云南陇川 经度:97.96 纬度:24.33  
城市:云南盈江 经度:97.93 纬度:24.69  
城市:云南畹町 经度:98.08 纬度:24.08  
城市:云南瑞丽 经度:97.83 纬度:24  
城市:云南梁河 经度:98.3 纬度:24.78  
城市:云南泸水 经度:98.82 纬度:25.97  
城市:云南碧江 经度:98.95 纬度:26.55  
城市:云南福贡 经度:98.92 纬度:26.89  
城市:云南兰坪 经度:99.29 纬度:26.49  
城市:云南贡山 经度:98.65 纬度:27.73  
城市:云南中甸 经度:99.72 纬度:27.78  
城市:云南德钦 经度:98.93 纬度:28.49  
   
